client_id,visitor_id,visit_id,process_step,date_time,device_change
1643,910842861_51062379179,379946188_1773022140_107963,start,2017-04-15 15:06:00,True
1643,121807985_20524560478,753205700_16851596206_134483,start,2017-06-10 07:49:27,True
1680,262688118_24224945474,807102410_81976926205_767113,start,2017-03-15 09:57:21,True
1680,95496252_89175705853,561970892_34952005684_284982,start,2017-06-09 07:42:33,True
4653,478563126_49472157149,97289181_43780844122_933636,start,2017-06-13 13:25:27,True
4653,169337156_86236892894,786985013_61205552578_339072,start,2017-06-14 23:17:38,True
6130,222808879_3435922132,553506712_24823852449_332436,start,2017-06-01 14:07:14,True
6130,883925136_42097382640,325462215_80336195682_968009,start,2017-06-01 14:20:41,True
6130,554007537_27140340317,915640292_984663856_475854,start,2017-06-04 14:48:16,True
7367,399768225_79244186394,349769209_60776838133_822009,start,2017-06-01 14:25:27,True
7367,347276052_77195175740,17986892_40133713428_709866,confirm,2017-06-04 12:26:08,True
9282,221486291_98740253047,164646583_87264289920_334362,start,2017-05-24 12:06:30,True
9282,577258306_67352822561,428395494_37132491958_579771,start,2017-05-29 10:05:32,True
11070,503142724_47551214565,273595684_60051533546_495174,start,2017-03-16 04:42:49,True
11070,615941288_43248755936,681895519_7554253726_390001,start,2017-04-06 15:05:20,True
11309,318031130_71925776535,810470354_19878806918_278799,start,2017-04-01 13:26:42,True
11309,745847966_3445021353,383723927_78043022819_44680,confirm,2017-04-02 16:14:39,True
11443,7658599_12240487136,901636379_93858727438_838066,start,2017-06-11 23:10:05,True
11443,476635476_76912047778,597514870_12165852767_683082,start,2017-06-14 08:08:58,True
13413,760948445_71580921541,846110831_37190503670_159245,start,2017-05-29 13:19:40,True
13413,266932420_9295734801,362683731_63846966889_81554,start,2017-05-29 18:30:23,True
13831,841596667_34744324631,146214316_74585352883_309974,start,2017-03-30 14:57:22,True
13831,592410323_73923628204,89007579_77532175971_965339,start,2017-05-24 14:19:37,True
14638,836141682_7112819489,772445603_47276014872_992462,start,2017-03-31 16:02:56,True
14638,380058304_7441067423,193602490_2924692627_603997,confirm,2017-04-12 11:19:56,True
14664,601212315_73766856431,666257031_818126395_674744,start,2017-04-05 12:53:14,True
14664,336258430_3981402351,458845188_39171222179_848364,start,2017-04-16 02:42:16,True
15543,117157666_16187159734,507840903_4082653486_392155,start,2017-03-30 20:16:52,True
15543,879755805_62837713601,396109786_37511571683_167896,start,2017-06-02 16:53:25,True
