client_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,Variation,process_step
2304905,7.0,94.0,58.0,U,2.0,110860.3,6.0,9.0,Control,4
5126305,12.0,145.0,33.0,F,2.0,103671.75,0.0,3.0,Control,0
3727881,5.0,71.0,30.5,U,2.0,23915.6,0.0,3.0,Control,4
272934,5.0,66.0,58.5,U,2.0,27021.42,2.0,5.0,Control,4
285619,30.0,369.0,67.5,M,2.0,299388.72,3.0,6.0,Control,4
8368822,8.0,100.0,34.5,U,2.0,75578.54000000001,0.0,3.0,Control,4
2537139,8.0,99.0,51.5,U,2.0,135940.68,6.0,9.0,Control,4
2368987,5.0,71.0,54.5,U,2.0,44408.87,2.0,5.0,Control,4
3788589,10.0,122.0,32.5,M,2.0,30750.76,0.0,3.0,Control,4
1502049,8.0,100.0,31.0,U,2.0,28952.15,0.0,3.0,Control,4
7585111,5.0,70.0,42.0,U,3.0,36621.41,1.0,4.0,Control,3
9520009,13.0,160.0,30.0,M,2.0,61062.57,6.0,9.0,Control,0
9381346,7.0,88.0,62.5,U,2.0,272252.76,0.0,3.0,Control,4
7035604,7.0,86.0,30.5,U,2.0,28175.92,1.0,4.0,Control,4
3055315,5.0,65.0,34.5,F,2.0,66560.69,1.0,5.0,Control,4
3350906,5.0,68.0,55.0,U,2.0,88627.18,2.0,5.0,Control,3
1549737,7.0,94.0,68.5,U,2.0,35608.94,1.0,4.0,Control,4
7474517,6.0,73.0,52.5,U,2.0,53993.47,4.0,7.0,Control,4
6448014,7.0,85.0,57.5,U,2.0,82787.45999999999,6.0,9.0,Control,4
6651826,8.0,103.0,34.5,U,2.0,44696.97,0.0,3.0,Control,4
2305285,14.0,168.0,54.0,M,2.0,132347.89,6.0,9.0,Control,3
3753796,25.0,305.0,66.5,F,2.0,214661.75,6.0,9.0,Control,4
6579978,21.0,253.0,74.0,M,2.0,71192.58,1.0,4.0,Control,1
8475126,23.0,278.0,51.0,M,3.0,327091.02,3.0,6.0,Control,0
1329260,17.0,212.0,63.5,F,2.0,666138.27,5.0,8.0,Control,4
4821014,17.0,204.0,62.5,M,2.0,45073.26,1.0,4.0,Control,4
2671231,5.0,68.0,23.0,U,2.0,43062.3,1.0,4.0,Control,4
9587439,5.0,66.0,26.5,U,2.0,28875.65,6.0,9.0,Control,4
5977906,10.0,130.0,76.5,F,2.0,82916.93,3.0,6.0,Control,4
4906392,13.0,159.0,27.5,F,2.0,52600.87,2.0,5.0,Control,4
3939684,15.0,190.0,60.5,F,2.0,48166.13,1.0,4.0,Control,4
