client_id,variation,count_confirm,count_start,count_step_1,count_step_2,count_step_3,time_confirm,time_start,time_step_1,time_step_2,time_step_3,start_count,Atrás,process_duration,completed
555,test,1,1,1,1,1,0.33,0.0,0.12,0.53,1.65,1,0,0 days 00:02:38,True
647,test,1,1,1,1,1,2.72,0.0,0.12,0.3,3.15,1,0,0 days 00:06:17,True
934,test,0,4,0,0,0,0.0,2.37,0.0,0.0,0.0,4,0,0 days 00:00:00,False
1028,control,0,1,5,2,1,0.0,0.0,4.2,0.18,4.58,1,2,0 days 00:00:00,False
1104,control,0,2,0,0,0,0.0,12402.25,0.0,0.0,0.0,2,0,0 days 00:00:00,False
1186,control,0,2,1,1,0,0.0,125.77,0.18,0.18,0.0,2,0,0 days 00:00:00,False
1195,control,1,1,1,1,1,1.38,0.0,0.55,1.63,0.52,1,0,0 days 00:04:05,True
1197,control,1,1,1,2,2,0.28,0.0,0.07,0.28,0.95,1,1,0 days 00:01:35,True
1336,test,3,1,1,1,1,136.1,0.0,0.42,0.43,0.85,1,0,0 days 02:17:48,True
1346,test,0,5,2,1,2,0.0,7.08,0.18,0.12,0.87,5,2,0 days 00:00:00,False
1368,control,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0 days 00:00:00,False
1516,test,1,6,4,4,1,4.27,1818.17,1.88,2.35,10.12,6,4,1 days 06:36:47,True
1643,test,1,5,2,1,1,0.5,80203.03,1.42,0.27,9.7,5,1,55 days 16:54:55,True
1702,test,3,0,0,0,0,102123.35,0.0,0.0,0.0,0.0,0,0,0 days 00:00:00,True
1755,test,1,2,2,2,2,0.93,5484.55,2.12,1.17,1.1,2,1,3 days 19:29:52,True
1836,test,2,4,4,1,1,4.15,2322.02,1.38,0.45,0.45,4,3,0 days 00:05:09,True
1936,test,1,4,1,2,2,0.28,1.62,0.13,0.25,1.18,4,1,0 days 00:03:28,True
2439,control,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0 days 00:00:00,False
2581,control,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0 days 00:00:00,False
2720,test,0,3,0,0,0,0.0,2.88,0.0,0.0,0.0,3,0,0 days 00:00:00,False
3232,test,1,1,1,1,1,0.45,0.0,0.23,0.22,4.43,1,0,0 days 00:05:20,True
3572,test,1,1,1,1,1,1.35,0.0,0.17,0.9,1.83,1,0,0 days 00:04:15,True
3647,control,0,3,1,1,1,0.0,75083.67,0.23,1.77,7.57,3,1,0 days 00:00:00,False
3743,control,1,1,1,1,1,1.65,0.0,0.22,0.65,2.35,1,0,0 days 00:04:52,True
4369,test,1,1,1,1,1,9.13,0.0,0.18,0.43,0.78,1,0,0 days 00:10:32,True
4484,test,1,2,1,1,2,5.12,15.45,0.85,0.87,5.58,2,0,0 days 00:27:52,True
4603,test,2,1,1,1,1,4853.7,0.0,0.08,0.42,0.53,1,0,3 days 08:54:44,True
4717,test,1,3,2,2,2,1.7,20234.17,0.47,1.58,3.7,3,1,14 days 01:21:37,True
4870,test,1,1,1,1,1,0.38,0.0,0.08,4.88,1.52,1,0,0 days 00:06:52,True
5354,control,1,2,2,1,1,0.87,1431.03,0.32,0.13,0.28,2,1,0 days 00:01:30,True
5845,test,0,2,2,2,3,0.0,41752.25,0.32,1.53,19.27,2,1,0 days 00:00:00,False
6022,test,0,2,1,0,0,0.0,2.2,4.18,0.0,0.0,2,1,0 days 00:00:00,False
6150,test,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0 days 00:00:00,False
6642,control,1,1,1,1,1,5.25,0.0,0.18,0.55,1.4,1,0,0 days 00:07:23,True
6904,test,1,1,1,1,1,0.65,0.0,0.13,0.5,0.8,1,0,0 days 00:02:05,True
6977,control,1,2,1,1,1,2.13,0.0,0.5,0.08,1.07,2,0,0 days 00:03:47,True
6985,control,1,2,1,1,1,3.32,4.92,0.58,0.77,0.85,2,0,0 days 00:10:26,True
7020,control,1,3,4,2,2,1.27,1735.82,1.13,0.65,1.52,3,4,0 days 00:03:56,True
7561,test,0,3,2,1,0,0.0,25807.08,0.48,0.27,0.0,3,2,0 days 00:00:00,False
7563,test,1,1,1,1,1,0.37,0.0,2.72,0.72,1.45,1,0,0 days 00:05:15,True
7567,control,1,2,1,1,1,1.0,0.0,0.6,0.2,0.55,2,0,0 days 00:02:21,True
7657,test,1,2,2,1,1,0.35,3.13,0.1,0.17,1.07,2,1,0 days 00:04:49,True
7723,test,1,1,1,1,1,0.93,0.0,0.43,2.22,1.6,1,0,0 days 00:05:11,True
7934,test,0,2,1,0,0,0.0,0.3,0.5,0.0,0.0,2,1,0 days 00:00:00,False
8023,test,0,1,1,0,0,0.0,0.0,0.1,0.0,0.0,1,0,0 days 00:00:00,False
8039,control,0,1,1,1,1,0.0,0.0,1.82,0.27,2.37,1,0,0 days 00:00:00,False
8055,test,1,1,1,1,1,2.35,0.0,0.37,1.37,0.87,1,0,0 days 00:04:57,True
8101,control,1,1,1,1,1,11.03,0.0,0.93,2.55,1.38,1,0,0 days 00:15:54,True
8124,control,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0 days 00:00:00,False
8610,test,0,2,0,0,0,0.0,0.3,0.0,0.0,0.0,2,0,0 days 00:00:00,False
8712,test,0,2,2,2,0,0.0,10.15,1.22,0.18,0.0,2,1,0 days 00:00:00,False
8820,test,1,1,1,1,1,2.95,0.0,0.18,1.2,2.63,1,0,0 days 00:06:58,True
9229,control,0,3,3,2,0,0.0,1.0,0.35,0.2,0.0,3,3,0 days 00:00:00,False
9751,test,0,3,2,2,0,0.0,1.35,0.18,0.52,0.0,3,3,0 days 00:00:00,False
9767,control,1,3,2,2,2,1.92,27396.93,1.93,0.42,4.33,3,1,19 days 00:45:32,True
9845,control,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0 days 00:00:00,False
9916,test,1,1,1,1,1,0.4,0.0,0.12,0.13,0.48,1,0,0 days 00:01:08,True
10344,control,0,5,0,0,0,0.0,55.67,0.0,0.0,0.0,5,0,0 days 00:00:00,False
10363,test,0,1,1,0,0,0.0,0.0,0.93,0.0,0.0,1,0,0 days 00:00:00,False
11040,test,1,1,1,1,1,0.45,0.0,0.13,0.68,0.73,1,0,0 days 00:02:00,True
11054,control,1,2,1,1,1,4.48,1.67,0.58,0.35,3.07,2,0,0 days 00:10:09,True
11070,control,1,5,2,2,2,1.12,30871.45,3.92,0.45,3.67,5,1,21 days 10:40:36,True
11122,control,1,1,1,1,1,1.08,0.0,0.92,0.13,1.38,1,0,0 days 00:03:31,True
